Transaction ID;Country;Amount (USD);Transaction Type;Date of Transaction;Person Involved;Industry;Destination Country;Reported by Authority;Source of Money;Money Laundering Risk Score;Shell Companies Involved;Financial Institution;Tax Haven Country
TX0000000042;India;3.746.204.255.037.930;Cash Withdrawal;2/1/13 17:00;Person_2936;Arms Trade;China;False;Illegal;7;2;Bank_433;Singapore
TX0000000043;UK;2.922.018.750.974.340;Cash Withdrawal;2/1/13 18:00;Person_4033;Real Estate;UK;False;Illegal;10;1;Bank_45;Switzerland
TX0000000044;UAE;22.649.954.809.810.800;Property Purchase;2/1/13 19:00;Person_2537;Casinos;Singapore;False;Illegal;5;0;Bank_247;Cayman Islands
TX0000000045;Russia;468.857.221.488.847;Cash Withdrawal;2/1/13 20:00;Person_943;Finance;China;False;Legal;9;6;Bank_190;Cayman Islands
TX0000000046;Switzerland;5.871.769.398.665.120;Stocks Transfer;2/1/13 21:00;Person_479;Real Estate;China;False;Legal;6;3;Bank_76;Bahamas
TX0000000047;China;17.242.086.825.087.700;Property Purchase;2/1/13 22:00;Person_21;Luxury Goods;South Africa;False;Illegal;7;9;Bank_466;Luxembourg
TX0000000048;Singapore;8.488.750.304.758.110;Property Purchase;2/1/13 23:00;Person_7362;Finance;South Africa;False;Legal;3;2;Bank_191;Luxembourg
TX0000000049;UAE;27.052.217.629.495.700;Cash Withdrawal;3/1/13 00:00;Person_4829;Construction;China;False;Legal;1;0;Bank_71;Switzerland
TX0000000050;Russia;14.733.218.975.690.800;Cash Withdrawal;3/1/13 01:00;Person_2327;Oil & Gas;South Africa;False;Illegal;8;1;Bank_287;Bahamas
TX0000000051;South Africa;7.990.566.380.165.340;Property Purchase;3/1/13 02:00;Person_9899;Real Estate;China;False;Illegal;4;9;Bank_72;Singapore
TX0000000052;Switzerland;9.647.198.399.996.270;Offshore Transfer;3/1/13 03:00;Person_298;Construction;China;False;Legal;10;2;Bank_42;Cayman Islands
TX0000000053;Brazil;9.175.553.952.730.650;Stocks Transfer;3/1/13 04:00;Person_3863;Construction;India;False;Illegal;1;2;Bank_49;Switzerland
TX0000000054;South Africa;19.809.469.914.259.400;Cash Withdrawal;3/1/13 05:00;Person_9641;Arms Trade;Brazil;False;Illegal;9;5;Bank_18;Singapore
TX0000000055;China;34.329.168.981.406.400;Cryptocurrency;3/1/13 06:00;Person_892;Casinos;China;False;Illegal;9;7;Bank_174;Panama
TX0000000056;Brazil;4.295.546.671.660.340;Cash Withdrawal;3/1/13 07:00;Person_8609;Oil & Gas;Singapore;False;Legal;9;0;Bank_340;Singapore
TX0000000057;USA;13.513.969.617.012.100;Cryptocurrency;3/1/13 08:00;Person_592;Casinos;China;True;Legal;8;9;Bank_63;Cayman Islands
TX0000000058;Russia;6.596.420.043.916.960;Property Purchase;3/1/13 09:00;Person_1172;Luxury Goods;Singapore;True;Legal;10;6;Bank_3;Bahamas
TX0000000059;Brazil;8.134.739.930.748.630;Property Purchase;3/1/13 10:00;Person_3900;Oil & Gas;UK;False;Legal;4;0;Bank_187;Bahamas
TX0000000060;South Africa;39.706.179.319.809.400;Offshore Transfer;3/1/13 11:00;Person_1992;Arms Trade;Russia;False;Illegal;1;2;Bank_110;Bahamas
TX0000000061;USA;15.815.206.008.291.900;Property Purchase;3/1/13 12:00;Person_5231;Oil & Gas;Russia;True;Legal;4;6;Bank_479;Cayman Islands
TX0000000062;USA;11.643.911.219.521.700;Cryptocurrency;3/1/13 13:00;Person_9220;Luxury Goods;UAE;False;Illegal;7;9;Bank_418;Singapore
TX0000000063;USA;2.177.304.122.384.780;Stocks Transfer;3/1/13 14:00;Person_6310;Real Estate;Russia;False;Illegal;10;9;Bank_146;Bahamas
TX0000000064;South Africa;2.524.958.981.476.100;Cash Withdrawal;3/1/13 15:00;Person_7570;Casinos;USA;False;Illegal;3;5;Bank_337;Cayman Islands
TX0000000065;Singapore;23.112.654.908.066.500;Property Purchase;3/1/13 16:00;Person_6019;Arms Trade;Russia;False;Legal;5;4;Bank_154;Bahamas
TX0000000066;USA;40.331.197.397.169.300;Cash Withdrawal;3/1/13 17:00;Person_9886;Finance;UK;False;Illegal;2;3;Bank_296;Panama
TX0000000067;USA;19.044.124.504.995.900;Offshore Transfer;3/1/13 18:00;Person_9544;Arms Trade;India;False;Illegal;7;0;Bank_187;Bahamas
TX0000000068;Brazil;20.753.460.012.763.300;Property Purchase;3/1/13 19:00;Person_1710;Real Estate;South Africa;False;Illegal;7;4;Bank_18;Switzerland
TX0000000069;Russia;29.523.145.495.621.900;Offshore Transfer;3/1/13 20:00;Person_9460;Oil & Gas;Russia;False;Illegal;4;7;Bank_491;Bahamas
TX0000000070;Brazil;20.534.753.677.998.100;Cryptocurrency;3/1/13 21:00;Person_5888;Luxury Goods;Switzerland;True;Illegal;9;1;Bank_424;Singapore
TX0000000071;Switzerland;15.913.231.092.934.300;Cash Withdrawal;3/1/13 22:00;Person_7747;Finance;South Africa;False;Illegal;1;9;Bank_146;Cayman Islands
TX0000000072;Russia;4.717.525.259.034.960;Offshore Transfer;3/1/13 23:00;Person_4245;Construction;Singapore;True;Legal;3;1;Bank_268;Bahamas
TX0000000073;South Africa;10.707.547.844.087.000;Cryptocurrency;4/1/13 00:00;Person_3517;Oil & Gas;India;False;Legal;7;6;Bank_362;Bahamas
TX0000000074;South Africa;4.342.358.351.874.130;Property Purchase;4/1/13 01:00;Person_3557;Arms Trade;Russia;False;Illegal;3;6;Bank_15;Panama
TX0000000075;China;3.372.288.164.464.320;Cash Withdrawal;4/1/13 02:00;Person_9513;Finance;Brazil;True;Legal;1;3;Bank_157;Switzerland
TX0000000076;UK;34.581.564.344.139.300;Stocks Transfer;4/1/13 03:00;Person_2872;Finance;Brazil;False;Legal;4;1;Bank_15;Cayman Islands
TX0000000077;Switzerland;15.113.619.477.742.200;Offshore Transfer;4/1/13 04:00;Person_5913;Finance;India;False;Illegal;5;1;Bank_328;Panama
TX0000000078;Brazil;6.834.341.331.475.770;Property Purchase;4/1/13 05:00;Person_981;Finance;South Africa;False;Illegal;5;5;Bank_368;Switzerland
TX0000000079;Switzerland;27.947.784.849.210.000;Cash Withdrawal;4/1/13 06:00;Person_7103;Finance;India;False;Illegal;6;8;Bank_137;Bahamas
TX0000000080;India;24.427.660.083.655.800;Offshore Transfer;4/1/13 07:00;Person_5722;Real Estate;UAE;False;Illegal;9;3;Bank_432;Cayman Islands
TX0000000081;UAE;49.828.191.593.042.300;Cryptocurrency;4/1/13 08:00;Person_4157;Oil & Gas;UAE;False;Illegal;9;7;Bank_237;Singapore
TX0000000082;UAE;23.572.502.663.009.600;Stocks Transfer;4/1/13 09:00;Person_9236;Construction;UK;False;Legal;7;2;Bank_226;Luxembourg
TX0000000083;UK;4.909.232.798.144.010;Property Purchase;4/1/13 10:00;Person_508;Oil & Gas;Brazil;False;Illegal;6;0;Bank_180;Switzerland
TX0000000084;USA;24.159.601.444.947.200;Cash Withdrawal;4/1/13 11:00;Person_2786;Finance;Switzerland;False;Illegal;8;4;Bank_198;Singapore
TX0000000085;Brazil;15.853.105.472.231.000;Stocks Transfer;4/1/13 12:00;Person_8997;Arms Trade;UK;False;Illegal;1;6;Bank_320;Luxembourg
TX0000000086;Brazil;3.788.729.495.297.670;Offshore Transfer;4/1/13 13:00;Person_69;Casinos;Switzerland;False;Legal;9;6;Bank_462;Panama
TX0000000087;Switzerland;35.584.105.212.000.100;Offshore Transfer;4/1/13 14:00;Person_7486;Casinos;UK;False;Illegal;10;1;Bank_183;Cayman Islands
TX0000000088;South Africa;380.833.789.419.509;Stocks Transfer;4/1/13 15:00;Person_4296;Oil & Gas;Brazil;False;Illegal;9;6;Bank_404;Singapore
TX0000000089;India;25.997.439.238.180.000;Stocks Transfer;4/1/13 16:00;Person_2439;Luxury Goods;Russia;False;Legal;2;1;Bank_380;Singapore
TX0000000090;USA;28.019.026.914.760.000;Property Purchase;4/1/13 17:00;Person_173;Construction;USA;False;Illegal;6;7;Bank_195;Bahamas
TX0000000091;India;6.265.825.149.832.730;Property Purchase;4/1/13 18:00;Person_2660;Casinos;Singapore;False;Legal;7;9;Bank_43;Panama
TX0000000092;Russia;4.173.901.170.437.620;Cryptocurrency;4/1/13 19:00;Person_9354;Luxury Goods;Switzerland;False;Illegal;9;0;Bank_87;Luxembourg
TX0000000093;India;2.636.848.581.949.820;Offshore Transfer;4/1/13 20:00;Person_7169;Finance;UAE;True;Illegal;3;9;Bank_262;Cayman Islands
TX0000000094;Brazil;2.585.900.064.265.150;Cryptocurrency;4/1/13 21:00;Person_9009;Oil & Gas;India;False;Illegal;10;8;Bank_283;Switzerland
TX0000000095;Russia;3.053.797.166.258.770;Offshore Transfer;4/1/13 22:00;Person_9788;Oil & Gas;Russia;False;Legal;3;2;Bank_352;Luxembourg
TX0000000096;USA;18.908.551.844.464.200;Cash Withdrawal;4/1/13 23:00;Person_5611;Real Estate;Switzerland;False;Illegal;6;5;Bank_272;Panama
TX0000000097;Russia;22.124.505.423.344.600;Cryptocurrency;5/1/13 00:00;Person_4479;Luxury Goods;Switzerland;False;Illegal;10;0;Bank_395;Cayman Islands
TX0000000098;Switzerland;26.478.152.124.856.100;Stocks Transfer;5/1/13 01:00;Person_4435;Construction;India;False;Legal;4;3;Bank_439;Switzerland
TX0000000099;China;3.892.983.765.945.810;Offshore Transfer;5/1/13 02:00;Person_3189;Finance;India;True;Illegal;4;3;Bank_493;Cayman Islands
TX0000000100;India;11.608.398.071.097.000;Cryptocurrency;5/1/13 03:00;Person_2291;Finance;India;False;Illegal;6;7;Bank_288;Switzerland
TX0000000101;Russia;39.873.479.547.394.300;Stocks Transfer;5/1/13 04:00;Person_2910;Arms Trade;South Africa;False;Illegal;8;7;Bank_339;Luxembourg
TX0000000102;UK;35.303.042.141.148.300;Offshore Transfer;5/1/13 05:00;Person_4769;Luxury Goods;USA;False;Legal;2;9;Bank_24;Switzerland
TX0000000103;India;37.368.099.094.015.100;Cash Withdrawal;5/1/13 06:00;Person_4542;Arms Trade;UAE;False;Illegal;5;1;Bank_285;Switzerland
TX0000000104;China;2.217.803.597.263.570;Cash Withdrawal;5/1/13 07:00;Person_3226;Casinos;India;False;Illegal;8;1;Bank_378;Bahamas
TX0000000105;Russia;3.166.414.874.675.100;Cash Withdrawal;5/1/13 08:00;Person_4798;Construction;India;False;Illegal;8;3;Bank_120;Luxembourg
TX0000000106;Russia;9.798.487.292.252.760;Stocks Transfer;5/1/13 09:00;Person_4977;Oil & Gas;Russia;True;Illegal;8;9;Bank_35;Switzerland
TX0000000107;China;4.335.717.148.329.770;Cryptocurrency;5/1/13 10:00;Person_9717;Casinos;South Africa;True;Illegal;6;2;Bank_411;Panama
TX0000000108;China;3.944.972.154.083.670;Offshore Transfer;5/1/13 11:00;Person_5533;Construction;UK;False;Legal;8;9;Bank_165;Panama
TX0000000109;South Africa;8.695.887.030.914.700;Stocks Transfer;5/1/13 12:00;Person_661;Luxury Goods;USA;False;Illegal;6;5;Bank_138;Panama
TX0000000110;Brazil;4.904.774.250.429.270;Property Purchase;5/1/13 13:00;Person_4795;Real Estate;South Africa;True;Illegal;7;9;Bank_160;Luxembourg
TX0000000111;China;28.881.914.146.318.800;Stocks Transfer;5/1/13 14:00;Person_3072;Arms Trade;Russia;False;Legal;6;8;Bank_490;Luxembourg
TX0000000112;UAE;35.995.026.027.718.400;Offshore Transfer;5/1/13 15:00;Person_2911;Construction;Singapore;True;Legal;2;9;Bank_60;Luxembourg
TX0000000113;Brazil;248.802.431.405.234;Offshore Transfer;5/1/13 16:00;Person_2000;Construction;Switzerland;False;Illegal;10;1;Bank_409;Switzerland
TX0000000114;Switzerland;4.546.033.568.267.050;Property Purchase;5/1/13 17:00;Person_4923;Arms Trade;India;False;Illegal;10;8;Bank_401;Luxembourg
TX0000000115;South Africa;51.174.682.881.257.500;Property Purchase;5/1/13 18:00;Person_6663;Construction;South Africa;False;Illegal;5;5;Bank_173;Luxembourg
TX0000000116;India;4.706.996.877.077.930;Cash Withdrawal;5/1/13 19:00;Person_1230;Finance;UK;True;Legal;9;8;Bank_264;Switzerland
TX0000000117;China;4.408.358.741.333.230;Offshore Transfer;5/1/13 20:00;Person_5656;Finance;USA;False;Illegal;8;2;Bank_213;Singapore
TX0000000118;Singapore;6.400.921.328.406.110;Offshore Transfer;5/1/13 21:00;Person_9769;Real Estate;USA;False;Legal;2;1;Bank_422;Bahamas
TX0000000119;Switzerland;21.738.542.485.409.800;Stocks Transfer;5/1/13 22:00;Person_5905;Arms Trade;Brazil;False;Illegal;5;6;Bank_258;Bahamas
TX0000000120;China;17.010.223.420.704.400;Cryptocurrency;5/1/13 23:00;Person_8383;Real Estate;USA;False;Legal;1;6;Bank_356;Singapore
TX0000000121;Switzerland;2.938.291.206.722.740;Property Purchase;6/1/13 00:00;Person_1145;Finance;Switzerland;False;Illegal;8;3;Bank_467;Luxembourg
TX0000000122;UAE;8.948.303.192.545.580;Cash Withdrawal;6/1/13 01:00;Person_5295;Luxury Goods;UK;False;Illegal;10;4;Bank_100;Switzerland
TX0000000123;USA;30.024.998.297.716.700;Property Purchase;6/1/13 02:00;Person_7378;Real Estate;USA;True;Illegal;1;7;Bank_459;Singapore
TX0000000124;UAE;28.376.469.979.134.600;Stocks Transfer;6/1/13 03:00;Person_7432;Construction;India;False;Illegal;4;9;Bank_216;Switzerland
TX0000000125;USA;33.360.758.494.047.400;Property Purchase;6/1/13 04:00;Person_8881;Finance;India;False;Legal;7;0;Bank_80;Bahamas
TX0000000126;UK;2.180.248.902.259.790;Stocks Transfer;6/1/13 05:00;Person_8385;Real Estate;Singapore;True;Illegal;10;7;Bank_234;Luxembourg
TX0000000127;Switzerland;27.590.184.367.119.000;Cash Withdrawal;6/1/13 06:00;Person_239;Oil & Gas;Brazil;False;Illegal;9;0;Bank_26;Switzerland
TX0000000128;China;3.131.886.489.854.190;Offshore Transfer;6/1/13 07:00;Person_2175;Finance;Russia;False;Illegal;9;4;Bank_74;Bahamas
TX0000000129;India;2.476.294.500.136.930;Property Purchase;6/1/13 08:00;Person_3364;Real Estate;USA;False;Illegal;4;9;Bank_124;Cayman Islands
TX0000000130;Russia;3.402.633.435.319.720;Property Purchase;6/1/13 09:00;Person_5865;Luxury Goods;Singapore;False;Legal;1;5;Bank_232;Panama
TX0000000131;Singapore;33.826.893.442.017.700;Property Purchase;6/1/13 10:00;Person_5801;Construction;Russia;True;Illegal;5;1;Bank_95;Panama
TX0000000132;Singapore;30.485.353.462.314.200;Property Purchase;6/1/13 11:00;Person_206;Arms Trade;USA;False;Illegal;3;4;Bank_495;Bahamas
TX0000000133;South Africa;2.267.348.554.988.380;Offshore Transfer;6/1/13 12:00;Person_3663;Finance;China;False;Illegal;5;6;Bank_391;Panama
TX0000000134;Singapore;11.191.190.298.204.500;Property Purchase;6/1/13 13:00;Person_3060;Construction;UAE;False;Illegal;2;9;Bank_442;Cayman Islands
TX0000000135;UAE;34.465.636.818.175.900;Cryptocurrency;6/1/13 14:00;Person_1053;Construction;China;False;Illegal;5;5;Bank_285;Luxembourg
TX0000000136;China;32.778.089.068.753.600;Offshore Transfer;6/1/13 15:00;Person_803;Casinos;China;True;Illegal;6;0;Bank_45;Singapore
TX0000000137;China;2.106.374.664.105.710;Stocks Transfer;6/1/13 16:00;Person_1488;Finance;UK;False;Legal;6;6;Bank_242;Switzerland
TX0000000138;China;8.705.633.884.277.780;Stocks Transfer;6/1/13 17:00;Person_5997;Construction;USA;False;Legal;8;0;Bank_148;Luxembourg
TX0000000139;Singapore;4.101.265.114.051.990;Cash Withdrawal;6/1/13 18:00;Person_7018;Luxury Goods;UAE;False;Illegal;5;6;Bank_147;Luxembourg
TX0000000140;UAE;35.908.923.270.346.300;Offshore Transfer;6/1/13 19:00;Person_4929;Oil & Gas;Switzerland;True;Illegal;6;6;Bank_126;Singapore
TX0000000141;Russia;4.887.537.297.923.040;Property Purchase;6/1/13 20:00;Person_9163;Casinos;Russia;False;Legal;8;1;Bank_101;Cayman Islands
TX0000000142;UAE;2.773.974.413.561.690;Stocks Transfer;6/1/13 21:00;Person_4942;Real Estate;Brazil;False;Illegal;1;0;Bank_244;Panama
TX0000000143;Russia;13.145.935.057.222.900;Stocks Transfer;6/1/13 22:00;Person_2712;Real Estate;UK;False;Illegal;9;4;Bank_244;Switzerland
TX0000000144;South Africa;11.090.897.067.622.800;Cash Withdrawal;6/1/13 23:00;Person_6013;Finance;UK;False;Legal;1;8;Bank_116;Switzerland
TX0000000145;South Africa;9.462.058.533.505.850;Cash Withdrawal;7/1/13 00:00;Person_5803;Casinos;UK;False;Illegal;4;8;Bank_57;Panama
TX0000000146;India;4.231.632.382.813.330;Cash Withdrawal;7/1/13 01:00;Person_4283;Finance;UAE;False;Illegal;6;2;Bank_123;Luxembourg
TX0000000147;India;17.943.696.009.381.200;Cash Withdrawal;7/1/13 02:00;Person_3803;Construction;Switzerland;False;Illegal;5;1;Bank_276;Bahamas
TX0000000148;India;28.480.467.672.684.500;Cash Withdrawal;7/1/13 03:00;Person_5397;Finance;India;False;Illegal;6;9;Bank_13;Singapore
TX0000000149;UK;17.731.249.299.509.000;Cryptocurrency;7/1/13 04:00;Person_9023;Construction;Singapore;False;Illegal;7;0;Bank_82;Luxembourg
TX0000000150;USA;4.132.998.004.565.090;Cash Withdrawal;7/1/13 05:00;Person_4019;Real Estate;Singapore;False;Legal;3;3;Bank_36;Singapore
TX0000000151;UK;10.142.992.798.520.800;Cryptocurrency;7/1/13 06:00;Person_555;Casinos;India;False;Illegal;7;1;Bank_417;Singapore
TX0000000152;UAE;3.868.014.290.793.890;Cash Withdrawal;7/1/13 07:00;Person_9297;Construction;Singapore;False;Legal;5;2;Bank_50;Panama
TX0000000153;South Africa;14.620.852.378.350.400;Property Purchase;7/1/13 08:00;Person_3690;Real Estate;Singapore;False;Illegal;10;6;Bank_10;Singapore
TX0000000154;China;3.257.364.857.301.780;Property Purchase;7/1/13 09:00;Person_1354;Real Estate;Brazil;False;Legal;7;1;Bank_297;Cayman Islands
TX0000000155;China;48.700.711.308.322.300;Stocks Transfer;7/1/13 10:00;Person_2600;Finance;South Africa;False;Illegal;10;3;Bank_80;Singapore
TX0000000156;Russia;36.784.409.795.042.600;Stocks Transfer;7/1/13 11:00;Person_226;Luxury Goods;Singapore;False;Illegal;9;1;Bank_402;Cayman Islands
TX0000000157;Switzerland;46.299.935.053.727.200;Stocks Transfer;7/1/13 12:00;Person_6505;Real Estate;USA;False;Illegal;8;1;Bank_298;Cayman Islands
TX0000000158;Switzerland;4.390.545.994.155.090;Cash Withdrawal;7/1/13 13:00;Person_3320;Arms Trade;India;False;Legal;9;6;Bank_427;Panama
TX0000000159;USA;3.176.578.488.617.290;Stocks Transfer;7/1/13 14:00;Person_2341;Real Estate;USA;False;Illegal;9;9;Bank_252;Switzerland
TX0000000160;China;3.202.900.800.132.570;Property Purchase;7/1/13 15:00;Person_5022;Arms Trade;USA;True;Illegal;6;5;Bank_496;Switzerland
TX0000000161;Russia;3.494.363.162.730.530;Property Purchase;7/1/13 16:00;Person_3531;Luxury Goods;UAE;False;Legal;9;9;Bank_88;Bahamas
TX0000000162;Russia;24.610.625.210.684.800;Cash Withdrawal;7/1/13 17:00;Person_2686;Real Estate;South Africa;False;Illegal;4;3;Bank_323;Cayman Islands
TX0000000163;Switzerland;16.589.464.370.373.700;Property Purchase;7/1/13 18:00;Person_3815;Finance;UK;True;Illegal;1;3;Bank_365;Cayman Islands
TX0000000164;UK;12.029.089.820.910.200;Offshore Transfer;7/1/13 19:00;Person_881;Oil & Gas;USA;True;Illegal;5;7;Bank_216;Singapore
TX0000000165;China;26.589.813.007.394.800;Property Purchase;7/1/13 20:00;Person_2334;Real Estate;Brazil;False;Legal;2;3;Bank_290;Bahamas
TX0000000166;Singapore;17.996.385.269.757.000;Offshore Transfer;7/1/13 21:00;Person_6948;Oil & Gas;USA;False;Illegal;5;0;Bank_22;Luxembourg
TX0000000167;Switzerland;4.502.528.458.233.040;Cryptocurrency;7/1/13 22:00;Person_736;Oil & Gas;South Africa;False;Illegal;9;0;Bank_247;Panama
TX0000000168;Switzerland;29.469.428.750.005.500;Cryptocurrency;7/1/13 23:00;Person_7565;Arms Trade;South Africa;False;Legal;10;6;Bank_67;Luxembourg
TX0000000169;South Africa;44.794.384.683.038.000;Cash Withdrawal;8/1/13 00:00;Person_4324;Oil & Gas;Russia;False;Illegal;6;0;Bank_339;Cayman Islands
TX0000000170;India;3.014.579.446.166.720;Stocks Transfer;8/1/13 01:00;Person_8641;Luxury Goods;Brazil;False;Illegal;6;9;Bank_466;Luxembourg
TX0000000171;China;38.113.059.619.661.900;Cash Withdrawal;8/1/13 02:00;Person_2480;Finance;UK;False;Illegal;8;1;Bank_94;Switzerland
TX0000000172;UAE;18.869.190.061.802.500;Cryptocurrency;8/1/13 03:00;Person_2642;Arms Trade;USA;False;Legal;1;5;Bank_245;Luxembourg
